Time,baggy_jeans,cargo pants,oversized hoodie,puffer jacket,linen shirt,leather jacket,mini skirt,chunky sneakers,oversized_blazer,pleated skirt,maxi skirt,white sneakers,platform sneakers,nike dunk,adidas samba,combat boots,wide_leg_jeans,parachute pants,cropped hoodie,graphic hoodie,corset top,tank top,denim jacket,bomber jacket
01-03-2021,7,22,3,19,3,31,9,2,1,5,4,17,3,31,4,5,2,0,1,0,2,10,8,5
01-04-2021,7,22,3,16,4,30,9,2,1,5,5,17,3,31,3,5,2,0,1,0,2,11,8,5
01-05-2021,7,22,3,17,5,29,9,2,1,5,5,17,3,34,3,4,2,0,1,0,2,11,8,5
01-06-2021,6,20,2,14,7,23,10,1,1,5,5,16,3,35,3,4,2,0,0,0,1,14,7,4
01-07-2021,7,23,3,13,7,25,10,2,1,5,5,17,3,37,3,5,2,0,0,0,2,13,7,4
01-08-2021,9,26,3,16,5,31,10,2,1,6,4,18,3,52,3,6,2,0,1,0,2,11,8,5
01-09-2021,9,26,4,25,4,37,12,2,2,6,4,18,3,47,3,9,2,0,1,0,2,9,8,6
01-10-2021,8,29,6,45,3,51,15,2,2,7,3,17,3,47,3,13,2,0,1,1,3,10,9,8
01-11-2021,8,28,7,76,3,61,13,2,2,6,3,19,3,47,3,14,2,0,1,1,2,8,10,9
01-12-2021,9,30,7,72,3,56,13,2,1,6,3,19,3,57,3,13,2,0,1,1,2,9,10,9
01-01-2022,8,28,5,51,4,43,11,2,2,5,3,17,3,58,3,9,2,0,1,1,3,9,8,7
01-02-2022,8,30,4,32,4,37,12,2,2,5,4,19,3,63,4,6,3,0,1,1,3,10,8,6
01-03-2022,9,33,3,22,6,32,11,2,2,5,5,22,4,66,4,6,3,0,1,0,3,11,7,6
01-04-2022,10,36,3,18,8,34,12,2,2,5,6,24,5,73,5,5,3,0,1,0,3,12,8,6
01-05-2022,10,33,3,16,10,27,11,2,2,5,6,23,4,69,5,4,3,1,0,0,3,13,8,5
01-06-2022,9,34,2,19,12,25,12,2,1,5,6,22,3,63,6,4,3,1,0,0,2,15,7,4
01-07-2022,10,36,3,17,11,24,13,2,1,5,6,23,4,70,7,4,3,1,0,0,3,15,6,4
01-08-2022,12,43,3,17,9,28,13,2,1,6,5,23,4,79,11,6,3,2,0,0,3,12,6,5
01-09-2022,13,45,5,31,6,39,13,2,2,6,5,23,4,72,13,7,3,2,1,1,3,10,8,7
01-10-2022,12,45,6,46,4,51,17,2,2,7,5,23,3,69,14,10,3,2,1,1,4,9,9,9
01-11-2022,13,45,8,70,4,58,14,2,2,6,4,39,4,79,15,10,3,2,1,1,3,8,10,10
01-12-2022,14,44,8,74,4,54,14,2,1,6,4,63,3,93,14,9,2,2,1,1,3,8,9,9
01-01-2023,14,40,5,45,5,45,13,2,1,5,5,22,4,84,18,7,3,2,1,1,3,9,8,7
01-02-2023,14,46,4,32,6,37,13,2,1,5,6,21,4,84,21,5,3,2,1,1,3,10,7,7
01-03-2023,15,47,4,24,7,37,13,2,1,5,8,23,4,88,25,5,3,2,1,1,3,11,7,7
01-04-2023,16,50,3,20,10,35,14,2,1,5,8,26,5,93,30,4,3,2,1,0,3,12,8,6
01-05-2023,16,44,2,17,13,29,14,2,1,5,9,26,5,82,32,4,3,2,0,0,3,14,8,5
01-06-2023,14,44,2,16,15,24,14,2,1,5,10,25,4,74,32,3,3,2,0,0,3,16,6,4
01-07-2023,16,46,3,15,13,25,16,2,1,6,9,23,4,81,34,3,3,2,0,0,3,15,7,5
01-08-2023,19,52,3,18,11,30,16,2,1,6,8,23,4,89,39,5,3,2,1,1,3,13,6,5
01-09-2023,21,50,4,24,7,39,17,2,1,6,8,22,4,80,56,6,4,2,1,1,3,10,7,7
01-10-2023,22,50,5,42,6,49,21,2,1,8,7,20,4,75,53,7,4,2,1,1,4,9,8,8
01-11-2023,23,52,7,73,5,60,18,2,1,7,7,22,4,88,54,7,4,2,1,1,3,8,9,10
01-12-2023,24,51,8,69,6,60,20,2,1,7,7,21,3,87,56,7,4,1,1,1,2,9,9,10
01-01-2024,23,42,5,55,6,48,17,2,1,6,7,20,3,63,64,6,4,1,1,1,2,10,7,8
01-02-2024,22,40,4,28,7,42,17,2,1,6,8,21,4,58,73,4,4,1,1,1,3,11,7,7
01-03-2024,26,44,3,20,10,41,19,2,1,6,10,22,4,63,92,4,4,1,1,1,3,13,8,7
01-04-2024,25,41,3,16,12,36,19,2,1,6,11,23,4,57,100,3,4,1,1,0,3,14,8,6
01-05-2024,21,36,2,14,15,29,19,2,1,7,13,21,4,51,86,3,4,1,0,0,3,15,7,5
01-06-2024,21,36,3,16,17,27,19,2,1,7,13,22,4,49,79,3,4,1,0,0,2,18,7,5
01-07-2024,23,37,3,17,14,27,20,2,1,7,12,20,3,48,78,3,4,1,1,0,2,17,6,5
01-08-2024,33,39,3,21,13,31,19,2,1,7,11,22,4,51,82,4,5,1,1,1,3,15,7,5
01-09-2024,31,38,4,40,9,47,22,2,2,9,10,20,4,45,81,5,5,1,1,1,3,13,7,8
01-10-2024,30,41,5,53,7,58,28,2,2,9,9,20,4,41,75,6,6,1,1,1,5,11,8,10
01-11-2024,33,36,8,80,7,69,22,2,2,8,9,22,4,49,76,6,6,1,1,1,2,10,9,11
01-12-2024,36,37,9,91,7,75,24,2,2,8,8,20,3,52,76,7,6,1,1,1,2,11,9,12
01-01-2025,31,30,5,60,7,54,18,2,1,6,9,18,3,41,61,5,5,1,1,1,2,11,7,9
01-02-2025,32,31,4,35,8,47,18,2,2,6,10,19,3,36,64,4,5,1,1,1,3,13,7,7
01-03-2025,35,33,3,21,13,43,19,2,2,6,12,43,4,41,88,3,6,1,1,1,3,15,8,8
01-04-2025,32,32,3,16,16,38,19,2,2,6,13,23,4,39,80,3,6,1,1,1,3,16,8,7
01-05-2025,29,32,3,15,19,33,20,2,1,6,15,22,3,31,71,3,5,1,1,0,3,18,8,6
01-06-2025,26,29,3,18,22,30,21,2,1,6,14,20,3,31,59,3,5,1,1,0,3,21,7,5
01-07-2025,32,32,3,19,22,32,23,2,1,7,14,23,4,36,65,4,5,1,1,1,3,21,6,5
01-08-2025,43,36,5,26,20,45,23,3,2,9,13,30,6,40,80,5,7,1,1,1,3,23,9,8
01-09-2025,42,35,6,40,14,60,23,3,2,9,12,27,6,34,73,6,8,1,1,1,4,18,9,10
01-10-2025,42,35,7,62,12,76,28,2,2,9,11,23,5,30,63,8,8,1,1,1,5,17,10,12
01-11-2025,45,33,9,100,11,93,25,3,2,9,11,25,5,36,69,7,8,1,1,1,3,15,11,14
01-12-2025,47,32,9,95,9,90,24,3,2,7,9,23,4,35,66,6,7,1,1,1,3,14,9,12
01-01-2026,40,29,5,60,11,67,19,2,2,6,10,21,4,25,52,5,6,1,1,1,3,16,8,10
01-02-2026,41,48,19,51,28,91,39,4,2,17,20,42,9,27,51,8,9,1,2,7,4,100,15,17
01-03-2026,40,32,4,29,17,56,20,3,2,6,13,23,5,27,69,5,7,1,1,1,3,19,10,10
